type,id,street,housenumber,flats,interpolation,shape,area,reason
way,145333064,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145333071,,,,odd,open2,Hanlon Creek,interpolation-live
way,145333080,,,,odd,open2,University,interpolation-live
way,145333088,,,,odd,open2,Non-Residential - C,interpolation-live
way,145333111,,,,even,open2,Old University,interpolation-live
way,145333115,,,,odd,open2,Clairfields,interpolation-live
way,145333140,,,,odd,open2,University,interpolation-live
way,145333141,,,,even,open2,Hanlon Creek,interpolation-live
way,145333155,,,,odd,open2,Old University,interpolation-live
way,145333168,,,,even,open2,University,interpolation-live
way,145333169,,,,even,open2,Old University,interpolation-live
way,145333171,,,,even,open2,Old University,interpolation-live
way,145333195,,,,even,open2,Old University,interpolation-live
way,145333204,,,,even,open2,Hanlon Creek,interpolation-live
way,145333207,,,,odd,openN,Old University,interpolation-multinode
way,145333253,,,,even,open2,University,interpolation-live
way,145333256,,,,even,open2,Old University,interpolation-live
way,145333283,,,,even,open2,Hales Barton,interpolation-live
way,145333289,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,145333292,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,145333314,,,,even,open2,Old University,interpolation-live
way,145333331,,,,even,open2,Old University,interpolation-live
way,145333411,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333420,,,,even,openN,University,interpolation-multinode
way,145333422,,,,odd,open2,Hanlon Creek,interpolation-live
way,145333460,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333479,,,,odd,open2,Hanlon Creek,interpolation-live
way,145333485,,,,odd,open2,Non-Residential - C,interpolation-live
way,145333494,,,,odd,open2,University,interpolation-live
way,145333497,,,,even,openN,Hales Barton,interpolation-multinode
way,145333674,,,,even,open2,Hanlon Creek,interpolation-live
way,145333686,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,145333688,,,,even,open2,University,interpolation-live
way,145333689,,,,even,open2,Hanlon Creek,interpolation-live
way,145333710,,,,even,open2,Hanlon Creek,interpolation-live
way,145333729,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333735,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333740,,,,even,open2,Old University,interpolation-live
way,145333797,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145333801,,,,even,open2,Old University,interpolation-live
way,145333812,,,,odd,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145333820,,,,even,open2,Hanlon Creek,interpolation-live
way,145333839,,,,odd,open2,Old University,interpolation-live
way,145333875,,,,even,open2,Old University,interpolation-live
way,145333882,,,,odd,open2,University,interpolation-live
way,145333894,,,,even,open2,Old University,interpolation-live
way,145333896,,,,odd,open2,Old University,interpolation-live
way,145333927,,,,odd,open2,Rickson Ridge,interpolation-live
way,145333955,,,,odd,open2,Old University,interpolation-live
way,145333962,,,,even,open2,Hales Barton,interpolation-live
way,145333964,,,,odd,open2,Old University,interpolation-live
way,145333969,,,,even,open2,Hanlon Creek,interpolation-live
way,145333983,,,,even,open2,Hanlon Creek,interpolation-live
way,145333990,,,,odd,open2,Old University,interpolation-live
way,145334032,,,,even,open2,Old University,interpolation-live
way,145334033,,,,even,openN,University,interpolation-multinode
way,145334072,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,145334084,,,,odd,open2,Clairfields,interpolation-live
way,145334153,,,,even,open2,University,interpolation-live
way,145334228,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145334250,,,,odd,openN,Hanlon Creek,interpolation-multinode
way,145334254,,,,odd,openN,Clairfields,interpolation-multinode
way,145334267,,,,odd,openN,University,interpolation-multinode
way,145334311,,,,odd,openN,Old University,interpolation-multinode
way,145334332,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334400,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145334438,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334442,,,,odd,openN,University,interpolation-multinode
way,145334444,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334489,,,,even,openN,University,interpolation-multinode
way,145334498,,,,even,openN,Old University,interpolation-multinode
way,145334545,,,,odd,openN,Hanlon Creek,interpolation-multinode
way,145334556,,,,odd,openN,Clairfields,interpolation-multinode
way,145334572,,,,odd,open2,University,interpolation-live
way,145334592,,,,even,openN,Old University,interpolation-multinode
way,145334606,,,,even,openN,University,interpolation-multinode
way,145334619,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334627,,,,odd,openN,University,interpolation-multinode
way,145334836,,,,even,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145334837,,,,odd,openN,Hanlon Creek,interpolation-multinode
way,145334917,,,,even,openN,Hanlon Creek,interpolation-multinode
way,145334919,,,,odd,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,145335003,,,,even,openN,Old University,interpolation-multinode
way,145335021,,,,odd,openN,Old University,interpolation-multinode
way,177606350,,,,odd,open2,Grange Hill East,interpolation-live
way,177606355,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177606379,,,,even,open2,Grange Hill East,interpolation-live
way,177606385,,,,even,open2,Grange Hill East,interpolation-live
way,177606402,,,,odd,open2,Two Rivers,interpolation-live
way,177606420,,,,odd,open2,Two Rivers,interpolation-live
way,177606463,,,,even,open2,University,interpolation-live
way,177606486,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177606541,,,,odd,open2,Old University,interpolation-live
way,177606545,,,,even,openN,Non-Residential - B,interpolation-multinode
way,177606553,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177606578,,,,even,open2,St. Georges Parkway,interpolation-live
way,177606590,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177606598,,,,even,open2,University,interpolation-live
way,177606603,,,,even,open2,St. Georges Parkway,interpolation-live
way,177606646,,,,even,openN,St. Georges Parkway,interpolation-multinode
way,177606679,,,,even,openN,Grange Hill East,interpolation-multinode
way,177606700,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177606701,,,,odd,open2,Two Rivers,interpolation-live
way,177606772,,,,odd,open2,Two Rivers,interpolation-live
way,177606786,,,,even,open2,Old University,interpolation-live
way,177606808,,,,odd,open2,Two Rivers,interpolation-live
way,177606811,,,,even,open2,Non-Residential - B,interpolation-live
way,177606841,,,,even,open2,Non-Residential - B,interpolation-live
way,177606883,,,,even,open2,Grange Hill East,interpolation-live
way,177606903,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177606919,,,,odd,open2,Non-Residential - B,interpolation-live
way,177606926,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177606935,,,,even,open2,St. Georges Parkway,interpolation-live
way,177606940,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177606995,,,,even,open2,St. Georges Parkway,interpolation-live
way,177606999,,,,even,open2,St. Georges Parkway,interpolation-live
way,177607019,,,,even,open2,University,interpolation-live
way,177607055,,,,odd,open2,Old University,interpolation-live
way,177607077,,,,odd,open2,University,interpolation-live
way,177607119,,,,odd,open2,Non-Residential - B,interpolation-live
way,177607154,,,,odd,open2,Two Rivers,interpolation-live
way,177607157,,,,even,open2,Non-Residential - B,interpolation-live
way,177607163,,,,even,open2,Non-Residential - B,interpolation-live
way,177607165,,,,odd,openN,Old University,interpolation-multinode
way,177607170,,,,even,open2,Non-Residential - B,interpolation-live
way,177607197,,,,odd,open2,Grange Hill East,interpolation-live
way,177607218,,,,even,open2,Grange Hill East,interpolation-live
way,177607220,,,,odd,open2,University,interpolation-live
way,177607223,,,,odd,open2,Grange Hill East,interpolation-live
way,177607272,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177607303,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177607328,,,,even,open2,St. Georges Parkway,interpolation-live
way,177607357,,,,odd,open2,Non-Residential - B,interpolation-live
way,177607366,,,,even,open2,Exhibition Park,interpolation-live
way,177607379,,,,even,open2,Non-Residential - B,interpolation-live
way,177607414,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177607483,,,,odd,open2,Old University,interpolation-live
way,177607491,,,,even,open2,Grange Hill East,interpolation-live
way,177607502,,,,even,open2,Grange Hill East,interpolation-live
way,177607533,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177607542,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177607574,,,,even,open2,Two Rivers,interpolation-live
way,177607582,,,,even,open2,University,interpolation-live
way,177607585,,,,odd,open2,Grange Hill East,interpolation-live
way,177607611,,,,even,open2,Two Rivers,interpolation-live
way,177607653,,,,even,open2,St. Georges Parkway,interpolation-live
way,177607656,,,,even,open2,St. Georges Parkway,interpolation-live
way,177607674,,,,odd,open2,Non-Residential - B,interpolation-live
way,177607687,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177607696,,,,even,open2,Grange Hill East,interpolation-live
way,177607715,,,,odd,openN,Grange Hill East,interpolation-multinode
way,177607744,,,,even,openN,Downtown - Sunny Acres,interpolation-multinode
way,177607751,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177607752,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177607787,,,,odd,open2,Two Rivers,interpolation-live
way,177607796,,,,odd,open2,University,interpolation-live
way,177607843,,,,odd,open2,Old University,interpolation-live
way,177607857,,,,even,open2,St. Georges Parkway,interpolation-live
way,177607874,,,,odd,open2,St. Georges Parkway,interpolation-live
way,177607883,,,,even,openN,St. Georges Parkway,interpolation-multinode
way,177607890,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,177607975,,,,odd,openN,St. Georges Parkway,interpolation-multinode
way,177607978,,,,even,openN,Non-Residential - B,interpolation-multinode
way,177608001,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,177608065,,,,even,openN,University,interpolation-multinode
way,177608148,,,,odd,openN,Non-Residential - B,interpolation-multinode
way,177608195,,,,odd,openN,St. Georges Parkway,interpolation-multinode
way,177860771,,,,odd,open2,Grange Hill East,interpolation-live
way,177860791,,,,odd,openN,Grange Hill East,interpolation-multinode
way,177864875,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,177864877,,,,odd,open2,Non-Residential - C,interpolation-live
way,177864886,,,,even,open2,Non-Residential - C,interpolation-live
way,177864890,,,,odd,open2,Non-Residential - C,interpolation-live
way,177864897,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,177864898,,,,odd,openN,Non-Residential - C,interpolation-multinode
way,177864904,,,,odd,open2,Non-Residential - C,interpolation-live
way,177864914,,,,odd,open2,Non-Residential - C,interpolation-live
way,177864921,,,,odd,open2,Non-Residential - C,interpolation-live
way,177864923,,,,odd,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,177864924,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,177864928,,,,odd,openN,Non-Residential - C,interpolation-multinode
way,177864936,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,177864938,,,,even,open2,Pine Ridge - Westminster Woods,interpolation-live
way,177864948,,,,odd,open2,Non-Residential - C,interpolation-live
way,177864949,,,,odd,openN,Pine Ridge - Westminster Woods,interpolation-multinode
way,177864950,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,177864954,,,,even,open2,Non-Residential - C,interpolation-live
way,177864955,,,,odd,open2,Non-Residential - C,interpolation-live
way,177864958,,,,odd,openN,Non-Residential - C,interpolation-multinode
way,177864969,,,,even,openN,Non-Residential - C,interpolation-multinode
way,177864971,,,,odd,open2,Pine Ridge - Westminster Woods,interpolation-live
way,177864976,,,,odd,open2,Non-Residential - C,interpolation-live
way,177924217,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924221,,,,odd,open2,Parkwood Gardens,interpolation-live
way,177924233,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177924239,,,,even,open2,Old University,interpolation-live
way,177924240,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924254,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924256,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924263,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924272,,,,odd,open2,Parkwood Gardens,interpolation-live
way,177924290,,,,odd,open2,Parkwood Gardens,interpolation-live
way,177924308,,,,even,openN,West Willow Woods,interpolation-multinode
way,177924314,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177924326,,,,odd,open2,Old University,interpolation-live
way,177924331,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924341,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177924342,,,,odd,open2,Old University,interpolation-live
way,177924344,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924369,,,,even,open2,Old University,interpolation-live
way,177924373,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924382,,,,even,open2,Old University,interpolation-live
way,177924383,,,,odd,open2,West Willow Woods,interpolation-live
way,177924400,,,,odd,open2,Parkwood Gardens,interpolation-live
way,177924402,,,,even,openN,Parkwood Gardens,interpolation-multinode
way,177924423,,,,even,open2,Parkwood Gardens,interpolation-live
way,177924426,,,,odd,openN,Parkwood Gardens,interpolation-multinode
way,177924437,,,,odd,open2,Unplaced,interpolation-live
way,177924442,,,,odd,open2,Parkwood Gardens,interpolation-live
way,177924452,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177924456,,,,odd,open2,Parkwood Gardens,interpolation-live
way,177924475,,,,odd,openN,Parkwood Gardens,interpolation-multinode
way,177924484,,,,even,openN,Parkwood Gardens,interpolation-multinode
way,177924493,,,,odd,openN,Parkwood Gardens,interpolation-multinode
way,177924494,,,,even,openN,Unplaced,interpolation-multinode
way,177924501,,,,odd,openN,West Willow Woods,interpolation-multinode
way,177924535,,,,odd,openN,West Willow Woods,interpolation-multinode
way,177924547,,,,even,openN,Parkwood Gardens,interpolation-multinode
way,177924558,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,177924560,,,,odd,openN,West Willow Woods,interpolation-multinode
way,177924575,,,,even,openN,Parkwood Gardens,interpolation-multinode
way,177924582,,,,odd,openN,West Willow Woods,interpolation-multinode
way,177924611,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,177924646,,,,even,openN,Parkwood Gardens,interpolation-multinode
way,177924665,,,,even,openN,Downtown - Sunny Acres,interpolation-multinode
way,177924697,,,,odd,openN,Parkwood Gardens,interpolation-multinode
way,177924704,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,177924708,,,,odd,openN,Parkwood Gardens,interpolation-multinode
way,177926829,,,,even,openN,Old University,interpolation-multinode
way,177926831,,,,odd,open2,Onward Willow,interpolation-live
way,177926849,,,,odd,open2,Onward Willow,interpolation-live
way,177926850,,,,even,open2,Exhibition Park,interpolation-live
way,177926864,,,,even,open2,June Avenue,interpolation-live
way,177926897,,,,odd,open2,June Avenue,interpolation-live
way,177926912,,,,even,open2,Non-Residential - A,interpolation-live
way,177926918,,,,odd,open2,Exhibition Park,interpolation-live
way,177926942,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177926943,,,,even,open2,Exhibition Park,interpolation-live
way,177926955,,,,even,open2,Exhibition Park,interpolation-live
way,177926966,,,,odd,open2,June Avenue,interpolation-live
way,177926967,,,,even,open2,Non-Residential - A,interpolation-live
way,177926973,,,,even,open2,Onward Willow,interpolation-live
way,177926978,,,,even,open2,Waverley,interpolation-live
way,177926998,,,,even,openN,Exhibition Park,interpolation-multinode
way,177927005,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927019,,,,odd,open2,Onward Willow,interpolation-live
way,177927020,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927022,,,,even,open2,Unplaced,interpolation-live
way,177927037,,,,even,open2,Exhibition Park,interpolation-live
way,177927046,,,,even,open2,Onward Willow,interpolation-live
way,177927049,,,,odd,open2,June Avenue,interpolation-live
way,177927058,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927060,,,,odd,open2,West Willow Woods,interpolation-live
way,177927064,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927068,,,,even,open2,Non-Residential - A,interpolation-live
way,177927075,,,,odd,open2,June Avenue,interpolation-live
way,177927092,,,,odd,open2,Downtown - Sunny Acres,interpolation-live
way,177927095,,,,odd,open2,Onward Willow,interpolation-live
way,177927112,,,,odd,open2,Non-Residential - A,interpolation-live
way,177927117,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927125,,,,odd,open2,Onward Willow,interpolation-live
way,177927133,,,,odd,open2,Old University,interpolation-live
way,177927155,,,,even,open2,Exhibition Park,interpolation-live
way,177927168,,,,odd,openN,Downtown - Sunny Acres,interpolation-multinode
way,177927173,,,,odd,open2,Exhibition Park,interpolation-live
way,177927181,,,,odd,openN,West Willow Woods,interpolation-multinode
way,177927182,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927191,,,,odd,openN,Waverley,interpolation-multinode
way,177927197,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927208,,,,even,open2,Non-Residential - A,interpolation-live
way,177927220,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927223,,,,even,open2,Downtown - Sunny Acres,interpolation-live
way,177927226,,,,even,open2,Non-Residential - A,interpolation-live
